Project,Stage,Datetime, Amount ,Valuation,Type project,Dead,WL,Token,Website,Chains,Description,Announcement,Category-Defillama,Main-Cate,Sub-Cate1,Sub-Cate2,Sub-Cate3,Total Sub-Cate
Halo,Seed,6/7/2024,  3.000.000 ,,,,,,,,Web3 Social App,https://x.com/HaloDotSocial/status/1798724235470512363,Social Platform,Web3,Social Network,,,Social Network
BitFlyer,Seed,6/10/2014,  1.172.000 ,,,,,,,,"BitFlyer is a bitcoin exchange and marketplace that enables its customers to buy, sell, and spend bitcoins.",,Centralized Exchange,CeFi,CEX,,,CEX
BitGo,Series A,6/16/2014,  12.000.000 ,,,,,,,,"BitGo is an institutional digital asset financial services company that provides clients with security, custody, and liquidity solutions.",,CeFi,DeFi,,,,
Coinalytics Co.,Convertible note issuance,10/1/2014,  100.000 ,,,,,,,,Coinalytics is a venture-backed startup that provides real-time intelligence for decentralized blockchain platforms.,,Analytics,Infrastructures,Data Service,,,Data Service
Coinalytics Co.,Seed,9/10/2015,  1.100.000 ,,,,,,,,Coinalytics is a venture-backed startup that provides real-time intelligence for decentralized blockchain platforms.,,Analytics,Infrastructures,Data Service,,,Data Service
Ethereum Foundation,ICO,7/12/2014,  18.400.000 ,,,,,,,Ethereum,Ethereum is a platform and a programming language that helps developers to build and publish next-generation distributed applications.,,L1,Infrastructures,Layer-1,,,Layer-1
OpenSocial,Seed,5/28/2024,  5.000.000 ,,,,,,,"Polygon,Base,Solana,Optimism,Arbitrum,Berachain",multichain infrastructure layer that enables the seamless development of social decentralized application,https://x.com/OpenSocialLabs/status/1795439964127473723,Social Platform,Web3,Social Network,Cross-chain,Communication,Social Network;Cross-chain;Communication
Farcaster,,5/21/2024,  150.000.000 ,1000,,,,,,Optimism,decentralized social network,https://x.com/dwr/status/1792948611585831302,Social Platform,Web3,Social Network,Communication,,Social Network;Communication
Scorechain,Seed,10/12/2015,  570.000 ,,,,,,,,Scorechain provides business intelligence and big data for the blockchain technologies.,,Analytics,Infrastructures,Data Service,,,Data Service
TradeBlock,Seed,7/16/2014,  2.800.000 ,,,,,,,,TradeBlock is the world's leading provider of institutional trading tools for digital currencies.,,Trading,CeFi,CEX,,,CEX
UXLINK,Seed+,5/13/2024,  5.000.000 ,,,,,,,"Ethereum,Arbitrum One",web3 social platform and infrastructure,https://x.com/UXLINKofficial/status/1789912866918945096,Social Platform,Web3,Social Network,Communication,,Social Network;Communication
Paragraph,Seed,5/2/2024,  5.000.000 ,,,,,,,Ethereum,web3 publishing platform,https://x.com/paragraph_xyz/status/1786068122895790340,Web3,Web3,Publisher,Social Network,,Publisher;Social Network
BitFlyer,Series A,7/22/2014,  1.600.000 ,,,,,,,,"BitFlyer is a bitcoin exchange and marketplace that enables its customers to buy, sell, and spend bitcoins.",,Centralized Exchange,CeFi,CEX,,,CEX
Paragraph,Seed,5/2/2024,  5.000.000 ,,,,,,,Ethereum,web3 publishing platform,https://x.com/paragraph_xyz/status/1786068122895790340,Web3,Web3,Publisher,,,Publisher
Stellar Development Foundation,Seed,8/1/2014,  3.000.000 ,,,,,,,Stellar,"Stellar Development Foundation supports the development and growth of Stellar, a blockchain network that connects financial infrastructure.",,L1,Infrastructures,Layer-1,,,Layer-1
